keynesian,marshallian
1188,1613
462,1715
1082,324
693,1409
547,1632
2277,1500
614,1174
586,1474
935,1133
450,1288
820,1444
521,1530
454,1067
498,538
1490,1664
803,977
2245,686
424,379
492,1329
399,1261
639,1285
null,1123
958,1678
845,1509
872,1086
941,904
622,1588
859,1486
1419,1465
549,1558
325,864
995,796
727,1184
792,1083
462,1527
686,1426
1074,1470
755,1444
1880,1774
2157,1472
1068,626
829,1568
837,761
891,1121
858,741
864,1685
1954,715
381,1435
771,1376
583,900
1055,1588
949,1397
1105,1626
1166,910
820,1809
1288,1394
2103,1723
423,1680
1593,1146
1186,1365
620,798
572,1976
681,1784
724,712
591,1862
2322,1159
641,516
842,1607
1035,744
1136,1721
804,1259
772,2041
644,1589
637,1829
2520,1648
725,387
843,792
1102,1429
687,1453
867,1302
820,675
463,483
1425,930
890,1486
3178,1368
690,1110
604,1542
1810,623
991,1327
982,1720
938,1543
10729,1113
2369,1801
839,1560
879,1765
385,567
597,1277
688,1589
816,1576
1178,1381
603,1417
null,1438
559,1584
335,1398
779,975
952,1666
725,1846
647,528
null,1255
1273,1173
1155,1344
997,1088
null,1619
824,1608
530,1102
496,1986
639,1566
810,568
474,1488
1022,1362
1505,1278
1458,668
1441,1412
560,1435
1186,1364
797,1644
1060,1335
894,1395
1322,1527
1541,890
621,1308
1601,1555
1362,1643
531,1454
677,1368
710,1648
593,953
377,1618
870,1564
301,1439
529,1833
4168,1520
null,867
921,1451
1012,938
724,1180
659,1475
1262,1244
568,1673
628,1179
1094,1998
754,942
690,1045
1322,1694
963,704
754,1464
575,1398
595,1928
586,773
1448,670
987,1523
null,1639
460,2088
641,1364
611,1278
1512,1544
501,1177
737,1234
5428,1698
353,1287
869,980
711,1739
525,1703
1195,1223
780,941
701,1668
937,1714
645,1576
608,1202
1647,1767
null,1590
1139,1261
540,1738
1213,1672
973,1433
820,1580
1449,1119
1318,522
1187,1228
606,1451
1049,1732
null,1299
533,1537
1504,613
484,748
767,1163
1912,1393
866,1317
662,1408
1220,1308
836,1303
603,760
357,1160
1312,1196
589,881
4134,1004
2466,1137
632,1409
599,1476
366,1212
364,1259
477,1500
348,1753
937,1644
1201,1285
756,1642
1127,1575
436,2010
587,1584
796,1200
1438,1049
1038,1497
1970,1203
1363,742
656,1742
674,1528
540,1633
595,1576
522,1447
6845,1977
569,1447
530,1024
649,1471
848,1115
1153,1471
882,1387
673,1382
1343,1308
null,1736
622,1836
624,626
491,1370
680,1399
388,1022
703,1646
295,1697
955,711
1134,794
512,1565
1240,1790
381,1383
477,1065
648,924
669,1776
974,1495
1584,808
1069,924
373,1579
606,922
1054,1035
712,1363
433,1423
451,1601
8922,1485
505,1375
3053,1568
681,959
883,1530
797,1051
611,1040
763,1381
664,1339
918,1974
614,1664
505,1160
548,634
1983,1404
